,Date,Vander_Score,Buy,Sell
634,2016-09-26,0.010773626373626374,1,0
635,2016-09-27,0.6461,1,0
636,2016-09-28,0.005775899999999997,1,0
637,2016-09-29,0.0487135922330097,0,1
638,2016-09-30,0.0510678445229682,1,0
639,2016-10-01,0.0,1,0
640,2016-10-02,0.1779,1,0
641,2016-10-03,0.0,0,1
642,2016-10-04,0.0,0,1
643,2016-10-05,0.02897334538878843,0,1
644,2016-10-06,0.03329484536082474,1,0
645,2016-10-07,0.13273227848101266,0,1
646,2016-10-08,-0.2755,0,1
647,2016-10-09,0.0,0,1
648,2016-10-10,0.03436308823529412,1,0
649,2016-10-11,0.01429325670498084,0,1
650,2016-10-12,0.014983298538622129,0,1
651,2016-10-13,0.4404,1,0
652,2016-10-14,0.057309374999999996,0,1
653,2016-10-15,0.0,0,1
654,2016-10-16,0.0,0,1
655,2016-10-17,0.0,1,0
656,2016-10-18,0.0,0,1
657,2016-10-19,0.06377562408223202,0,1
658,2016-10-20,0.4019,1,0
659,2016-10-21,0.1779,0,1
660,2016-10-22,0.04937564614974687,0,1
661,2016-10-23,0.0,0,1
662,2016-10-24,0.029919042253521128,1,0
663,2016-10-25,0.0010805270010964916,1,0
664,2016-10-26,-0.01115853470437018,1,0
665,2016-10-27,0.0009901732673267313,0,1
666,2016-10-28,0.0,0,1
667,2016-10-29,0.0,0,1
668,2016-10-30,0.11780871327254307,0,1
669,2016-10-31,0.0,0,1
670,2016-11-01,0.0,0,1
671,2016-11-02,0.0,1,0
672,2016-11-03,-0.010357873563218392,0,1
673,2016-11-04,-0.08766153846153846,1,0
674,2016-11-05,0.4019,1,0
675,2016-11-06,0.005663065326633166,1,0
676,2016-11-07,0.059024561403508764,1,0
677,2016-11-08,0.0,1,0
678,2016-11-09,0.012364952153110044,1,0
679,2016-11-10,0.049402068965517236,0,1
680,2016-11-11,0.0,1,0
681,2016-11-12,0.24957272727272728,1,0
682,2016-11-13,0.0,1,0
683,2016-11-14,0.014185096153846156,0,1
684,2016-11-15,0.0,1,0
685,2016-11-16,0.07064727272727273,1,0
686,2016-11-17,0.0,1,0
687,2016-11-18,0.0,1,0
688,2016-11-19,0.0,1,0
689,2016-11-20,0.05855828220858895,1,0
690,2016-11-21,0.012961224489795918,1,0
691,2016-11-22,0.16194999999999998,0,1
692,2016-11-23,0.0,0,1
693,2016-11-24,0.0,0,1
694,2016-11-25,0.0,1,0
695,2016-11-26,0.0,1,0
696,2016-11-27,0.0,1,0
